"cr286_area_km2","cr286_contractor_id","cr286_date_of_processing_commence","cr286_date_of_processing_completion","importsequencenumber","cr286_operator_id","cr286_processing_grid_m","cr286_processing_result","cr286_processing_type","cr286_remarks","cr286_seismic_3d_processing_id","cr286_seismic_3d_processing_name","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_processingid","owningbusinessunit"
"","FAIRFIELD_VN","2014-11-01 00:00:00.0000000","2015-09-01 00:00:00.0000000","","PVEP_POC","12.5x12.5","","","","P3CL32","VSP04.17.3D/VSP04","1","0","4","","2377253","bb034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","CGG_VERITAS","2010-12-23 00:00:00.0000000","2012-01-13 00:00:00.0000000","","PVEP_POC","12.5x12.5","Pre-stack Depth Migration","Depth","","P3CL30","VSP92.09.DH.3D/VSP92","1","0","4","","2377252","b9034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"518.3","CGG","","2014-07-01 00:00:00.0000000","","PVEP_POC","12.5x12.5","Final Anisotropic Pre-stack Depth Migration Stack","Depth","","P3CL27","VSP95.09.BH.3D/VSP92","1","0","4","","2377251","b8034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"546","CGG_SIG","2013-10-01 00:00:00.0000000","2014-01-01 00:00:00.0000000","","PVEP_POC","12.5x25","Final Pre-stack Time Migration","Time","","P3CL26","VSP92.09.BH.3D/VSP92","1","0","4","","2377250","b7034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"276","CGG_VERITAS","2010-03-01 00:00:00.0000000","2010-07-01 00:00:00.0000000","","PHU_QUY_POC","12.5x12.5","Pre-stack Depth Migration","Depth","","P3CL25","VSP11.NR-DM.09-1.3D/VSP02","1","0","4","","2377249","b5034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"251","CGG_VERITAS","2011-12-01 00:00:00.0000000","2012-06-01 00:00:00.0000000","","PVEP_POC","12.5x25","Final Pre-stack Time Migration","Time","","P3CL28","VSP97.09.BH.3D/VSP92","1","0","4","","2377248","b6034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"349","CGG_AP","2006-08-01 00:00:00.0000000","2007-05-01 00:00:00.0000000","","PETRONAS_CARIGALI_VN","12.5x12.5","Pre-stack Depth Migration","Depth","","P3CL22","VRJ17.3D/VRJ17","1","0","4","","2377247","b1034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","CGDG","1996-03-01 00:00:00.0000000","","","PETRONAS_CARIGALI_VN","12.5x25","Final Migration","Time","","P3CL23","VSP93.RONG.3D/VSP93","1","0","4","","2377246","b3034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"320","CGG_AP","2006-05-01 00:00:00.0000000","2007-04-01 00:00:00.0000000","","PETRONAS_CARIGALI_VN","6.25x18.75","Pre-stack Depth Migration","Depth","","P3CL21","THANGLONG08.15-2.3D/THANGLONG08","1","0","4","","2377245","b4034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"798.77","CGG_VERITAS","2008-11-24 00:00:00.0000000","2009-06-23 00:00:00.0000000","","PHU_QUY_POC","12.5x25","Final Pre-stack Depth Migration","Depth","","P3CL24","VSP96.RONG.3D/VSP96","1","0","4","","2377244","b2034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
