"cr286_active_channel","cr286_cable_length_m","cr286_cource_type","cr286_date_of_acquisition_commence","cr286_date_of_acquisition_completion","cr286_fold_coverage_m","cr286_group_interval_m","cr286_gun_depth_m","importsequencenumber","cr286_operator_id","cr286_record_length_ms","cr286_recording_format","cr286_remarks","cr286_sample_rate_ms","cr286_seismic_3d_survey_id","cr286_seismic_3d_survey_name","cr286_shotpoint_interval_m","cr286_source","statuscode","statecode","cr286_survey_area_km2","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_acquisitionid","cr286_water_depth_from_m","cr286_water_depth_to_m","owningbusinessunit"
"3840","6000","Bolt Gun","2014-05-01 00:00:00.0000000","2014-06-01 00:00:00.0000000","80","12.5","7","","PVEP_POC","7050","Seg-D","","2","D3CL25","PVEP2015.01/10-02/10.3D","18.75","FBCA012642","1","0","1168","4","","2405185","1dd4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"3840","6000","Sodera G-Guns","2010-07-01 00:00:00.0000000","2010-08-01 00:00:00.0000000","80","12.5","6","","PVEP_POC","7000","Seg-D","","2","D3CL26","PVEPPOC.HONGLONG10.09-2/09.01-02/10.3D","18.75","FBCA011019","1","0","960","4","","2405184","1cd4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"4320","4800","","2002-05-01 00:00:00.0000000","2002-07-01 00:00:00.0000000","","12.5","6","","PVEP_POC","5000","Seg-D","","2","D3CL23","PVEP2002.01/10-02/10.3D","18.75","FBCA011417","1","0","","4","","2405183","18d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"3840","6000","Bolt","","","80","12.5","6","","PVEP_POC","7050","Seg-D","","2","D3CL24","PVEP2012.01/10-02/10.3D","18.75","FBCA011539","1","0","1007","","","2405182","1bd4e406-d0fa-ee11-9f89-000d3aa02f9f","20","50","bdc98465-7de8-ee11-a203-00224856dfbe"
"5076","7050","Bolt","2011-09-01 00:00:00.0000000","2011-10-01 00:00:00.0000000","94","12.5","7","","PVEP_POC","7050","Seg-D","","2","D3CL22","PVEP11.09-2/10.3D","18.75","FBCA011367","1","0","251","4","","2405181","1ad4e406-d0fa-ee11-9f89-000d3aa02f9f","30","55","bdc98465-7de8-ee11-a203-00224856dfbe"
"3840","6000","Sercel G-gun","2013-09-21 00:00:00.0000000","2013-10-16 00:00:00.0000000","80","12.5","8","","PVEP_POC","6050","Seg-D","","2","D3CL21","PVEP.POC13.15.1/05.3D","18.75","FBCA012197","1","0","518.3","4","","2405180","19d4e406-d0fa-ee11-9f89-000d3aa02f9f","21","60","bdc98465-7de8-ee11-a203-00224856dfbe"
"1440","","Airgun","1995-03-01 00:00:00.0000000","1995-04-28 00:00:00.0000000","","12.5","5","","PETRONAS_CARIGALI_VN","5000","Seg-D","","2","D3CL19","PETRONAS1995.01.3D","18.75","BCA000941","1","0","","4","","2405179","15d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"3027","4800","Dual Bolt Array","2008-05-27 00:00:00.0000000","2008-07-25 00:00:00.0000000","48","12.5","6","","PVEP_PHU_QUY","6000","Seg-D","","2","D3CL20","PVEP08.PQ.15.1-05.3D","25","BC_PHUQUY.POC15.1-05_066","1","0","798.77","4","","2405178","17d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"4608","4800","Airgun","2002-04-01 00:00:00.0000000","2002-07-01 00:00:00.0000000","64","12.5","6","","PETRONAS_CARIGALI_VN","5000","Seg-D","","2","D3CL18","PETRONAS07.RUBY95.01-02.3D","18.75","BCA010081","1","0","290","4","","2405177","16d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"2160","4500","G-gun Airgun","2005-04-01 00:00:00.0000000","2005-05-01 00:00:00.0000000","60","12.5","4","","PETRONAS_CARIGALI_VN","6000","Seg-D","","2","D3CL17","PETRONAS05.102.3D","18.75","FBCA010086","1","0","320","4","","2405176","14d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"2160","4500","Airgun Sodera G Gun","2004-07-24 00:00:00.0000000","2004-09-11 00:00:00.0000000","60","12.5","6","","CL_LS_JOC","5500","Seg-D","","2","D3CL13","LAMSON04.15.1-01/97.3D","18.75","FBCA010090","1","0","765","4","","2405175","10d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"2160","4500","Airgun","","","60","12.5","5","","PETRONAS_CARIGALI_VN","5000","Seg-D","","2","D3CL15","PETRONAS03.106.3D","18.75","BC_PNAS102-106_134","1","0","450","","","2405174","13d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"2160","4500","G-gun Airgun","2005-05-01 00:00:00.0000000","2005-06-01 00:00:00.0000000","60","12.5","4","","PETRONAS_CARIGALI_VN","6000","Seg-D","","2","D3CL16","PETRONAS05.106.3D","18.75","FBCA010087","1","0","284","4","","2405173","11d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"4608","4800","Airgun","2002-05-01 00:00:00.0000000","2002-07-01 00:00:00.0000000","64","12.5","6","","PETRONAS_CARIGALI_VN","5000","Seg-D","","2","D3CL14","PETRONAS02.01&02.3D","18.75","BC_PNAS01_02_0853","1","0","","4","","2405172","12d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"2160","4500","Airgun","2004-07-24 00:00:00.0000000","2004-09-11 00:00:00.0000000","60","12.5","6","","LAM_SON_JOC","5500","Seg-D","","2","D3CL11","LAMSON06.01/97.3D","18.75","FBCA002313","1","0","","4","","2405171","0dd4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"480","3000","Source Array","1995-08-01 00:00:00.0000000","","40","12.5","6","","JVPC","6000","Seg-D","","2","D3CL10","JVPC95.PD.15-2.3D","18.75","FBCA001473","1","0","","4","","2405170","0cd4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"480","3000","Source Array","1995-06-01 00:00:00.0000000","1995-07-01 00:00:00.0000000","40","12.5","6","","JVPC","6000","Seg-D","","2","D3CL9","JVPC95.VD.15-2.3D","18.75","FBCA001474","1","0","","4","","2405169","0fd4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"4608","4800","Sodera G-Guns","2002-04-01 00:00:00.0000000","2002-07-01 00:00:00.0000000","64","12.5","6","","LAM_SON_JOC","5000","Seg-D","","2","D3CL12","LAMSON06.02/97.3D","18.75","FBCA002281","1","0","321","4","","2405168","0ed4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"3840","6000","Bolt","2011-05-17 00:00:00.0000000","2011-06-07 00:00:00.0000000","80","12.5","6","","IDEMITSU","6250","Seg-D","","2","D3CL7","IDEMITSU11.HAZARD.05-1B.05-1C.3D","18.75","BCA011629","1","0","115","4","","2405167","08d4e406-d0fa-ee11-9f89-000d3aa02f9f","90","165","bdc98465-7de8-ee11-a203-00224856dfbe"
"","3000","Bolt Array","1993-02-16 00:00:00.0000000","1993-04-04 00:00:00.0000000","80","12.5","7","","JVPC","5000","Seg-D","","2","D3CL8","JVPC93.RD.15-2.3D","18.75","FBCA001482","1","0","320","4","","2405166","0ad4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"2560","4000","Bolt Airgun","2001-05-02 00:00:00.0000000","2001-05-21 00:00:00.0000000","","12.5","6","","HOAN_VU_JOC","6000","Seg-D","","2","D3CL5","HOANVU01.09.2.3D","18.75","FBCA001529","1","0","650","4","","2405165","0bd4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"2816","4400","Bolt Airgun","2005-02-01 00:00:00.0000000","2005-04-01 00:00:00.0000000","59","12.5","6","","IDEMITSU","6000","Seg-D","","2","D3CL6","IDEMITSU05.05-1B.05-1C.3D","18.75","BCA001842","1","0","600","4","","2405164","09d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"1920","4000","Bolt Airgun","2000-07-01 00:00:00.0000000","2000-08-01 00:00:00.0000000","53","12.5","6","","CONOCO","6000","Seg-D","","2","D3CL1","CONOCO00.16-2.3D","37.5","BC_CONOCO16.2_031","1","0","820","4","","2405162","05d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"1728","3600","Bolt Airgun","1999-04-30 00:00:00.0000000","1999-05-22 00:00:00.0000000","36","12.5","6","","CUU_LONG_JOC","6000","Seg-D","","2","D3CL2","CUULONG99.15-1.3D","25","FBCA001539","1","0","337","4","","2405161","04d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"1920","4000","Dual Airgun","2000-07-23 00:00:00.0000000","2000-10-26 00:00:00.0000000","","12.5","6","","HOANG_LONG_JOC","6144","Seg-D","","2","D3CL3","HOANGLONG00.16-1.3D","18.75","FBCA001852","1","0","770","4","","2405160","07d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"2560","4000","Bolt Airgun","2004-04-01 00:00:00.0000000","","54","12.5","6","","HOAN_VU_JOC","6000","Seg-D","","2","D3CL4","HOANVU04.09-2.3D","18.75","BC_HOANVU09.2_147","1","0","260","4","","2405159","06d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
